Star,Kerb Weight,Active Bonnet,Lane Assist System,AEB Pedestrian,Center Airbag,Side Pelvis Airbag,Side Chest Airbag,Belt Pretensioner,Knee Airbag
1,2050,0,1,0,11-1,000,110,111,00-1
0,1660,1,1,0,11-1,000,110,111,00-1
0,1389,0,1,0,00-1,000,110,111,00-1
0,1682,1,1,0,00-1,000,110,111,000
1,1810,0,1,0,1-1-1,11-1,11-1,111,10-1
1,1636,0,1,0,11-1,000,110,111,00-1
1,1158,0,1,0,11-1,110,110,111,00-1
1,1216,0,1,0,11-1,110,110,111,000
1,2345,1,1,0,10-1,110,110,111,00-1
1,2580,0,1,1,10-1,110,110,111,100
0,2520,0,1,1,10-1,000,111,111,110
1,2285,1,1,0,10-1,110,110,111,00-1
1,2210,0,1,1,10-1,000,110,111,000
1,1658,0,1,1,10-1,110,110,111,00-1
1,2091,0,1,1,10-1,111,111,111,000
1,2346,0,1,1,10-1,110,110,111,00-1
1,2170,0,1,1,10-1,110,110,111,00-1
0,1425,0,1,0,00-1,000,110,111,00-1
1,2889,0,1,1,10-1,110,110,111,000
0,1513,0,1,0,00-1,000,110,111,00-1
0,1449,0,1,0,00-1,110,110,111,00-1
0,1449,0,1,0,00-1,110,110,111,00-1
1,1835,0,1,0,10-1,110,110,111,00-1
1,2889,0,1,1,10-1,110,110,111,000
1,2206,0,1,1,11-1,111,111,111,100
1,1640,1,1,0,10-1,110,110,111,00-1
1,2330,1,1,0,10-1,000,110,111,00-1
0,1449,0,1,0,00-1,110,110,111,00-1
1,1775,0,1,1,10-1,110,110,111,00-1
1,2206,1,1,0,10-1,000,110,111,00-1
1,2023,0,1,1,10-1,000,110,111,00-1
0,1373,0,1,0,10-1,110,110,111,00-1
1,1575,0,1,1,10-1,110,110,111,00-1
0,1425,0,1,0,00-1,000,110,111,00-1
1,2400,0,1,1,10-1,110,110,111,000
1,2015,0,1,1,10-1,000,110,111,00-1
0,1552,0,1,0,00-1,110,110,111,00-1
0,1425,0,1,0,00-1,000,110,111,00-1
0,1425,0,1,0,00-1,000,110,111,00-1
1,1612,0,1,1,10-1,110,110,111,10-1
1,1612,0,1,1,10-1,110,110,111,10-1
1,2025,0,1,1,10-1,110,110,111,00-1
0,1422,0,1,0,00-1,000,110,111,00-1
1,2255,1,1,1,10-1,110,110,111,11-1
0,934,0,1,0,00-1,110,110,111,00-1
1,1618,0,1,1,10-1,110,110,111,10-1
1,1928,0,1,1,10-1,110,110,111,00-1
1,1618,0,1,1,10-1,110,110,111,10-1
0,2422,1,1,0,10-1,110,110,111,00-1
1,2239,0,1,1,10-1,110,110,111,00-1
1,1677,0,1,1,10-1,111,111,111,000
1,1930,0,1,1,10-1,000,111,111,00-1
1,2300,0,1,1,10-1,11-1,11-1,111,00-1
1,1463,0,1,0,11-1,110,110,111,10-1
1,1705,0,1,0,10-1,110,110,111,00-1
1,1976,1,1,0,10-1,110,110,111,00-1
1,2377,0,1,1,10-1,110,110,111,00-1
1,1790,0,1,1,10-1,110,110,111,10-1
1,1790,0,1,1,10-1,110,110,111,10-1
1,1797,0,1,0,10-1,110,110,111,00-1
0,1387,0,1,0,00-1,111,111,111,00-1
1,1790,0,1,1,10-1,110,110,111,10-1
1,2015,0,1,0,10-1,11-1,11-1,111,00-1
1,2180,1,1,1,10-1,110,110,111,00-1
1,1962,0,1,1,10-1,111,111,111,00-1
1,1346,0,1,0,10-1,000,110,111,00-1
1,2227,0,1,0,10-1,110,110,111,00-1
0,1238,0,1,0,00-1,110,110,111,00-1
1,2582,0,1,0,10-1,110,110,111,00-1
0,1285,1,1,0,10-1,110,111,111,10-1
1,2070,0,1,0,10-1,110,110,111,00-1
0,1541,1,1,0,10-1,111,111,111,00-1
1,1390,0,1,0,00-1,110,110,111,00-1
0,2104,0,1,0,00-1,110,110,111,00-1
1,2230,0,1,1,10-1,110,110,111,00-1
1,1467,0,1,1,10-1,11-1,11-1,111,00-1
1,2310,0,1,1,10-1,110,110,111,00-1
1,1820,0,1,1,10-1,110,110,111,00-1
1,1806,1,1,0,10-1,111,111,111,00-1
1,1300,1,1,0,10-1,111,111,111,00-1
1,2200,0,1,1,10-1,110,110,111,00-1
0,1799,0,1,0,00-1,110,110,111,10-1
1,2124,0,1,0,00-1,110,110,111,10-1
0,1799,0,1,0,00-1,110,110,111,10-1
1,2384,0,1,0,10-1,000,110,111,00-1
0,1790,0,1,1,10-1,110,110,111,10-1
0,1790,0,1,1,10-1,110,110,111,10-1
0,1373,0,1,0,10-1,110,110,111,00-1
0,1358,0,1,0,10-1,000,110,111,00-1
1,1820,0,1,1,10-1,110,110,111,00-1
1,2195,0,1,1,10-1,110,110,111,10-1
1,2230,0,1,1,10-1,111,111,111,00-1
1,2460,0,1,1,10-1,110,110,111,00-1
